beta,deviance,lambda,log.lik,phi,pj,psi_s,psi_w,sig.alpha,sig.e,sig.eps,sig.zeta,stt_s,stt_w,tau.jump,nc_pars,nc_obs,npars,nobs,sp,years,Tmean,Tsd,Tdiff,large_ci
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,64,246,93_24,0.704,0.777,0,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,864,250,93_24,0.635,0.586,0,23
4,0,0,0,1,0,5,6,0,0,0,0,1,0,0,5,22,15,1216,251,93_24,0.674,0.72,0,37
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,15,608,253,93_24,0.733,0.75,0,478
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,64,254,93_24,0.492,0.427,0,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,288,255,93_24,0.583,0.656,0,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,320,256,93_24,0.717,0.757,0,235910
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,96,257,93_24,0.458,0.515,0,NA
2,0,0,0,1,0,8,0,0,0,0,1,0,0,1,5,18,15,832,258,93_24,0.629,0.634,0,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,256,262,93_24,0.574,0.509,0,NA
1,0,0,0,0,0,21,1,0,0,0,0,0,0,1,4,28,15,2144,263,93_24,0.676,0.714,0,46
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,320,264,93_24,0.732,0.688,0,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,128,266,93_24,0.526,0.503,0,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,288,267,93_24,0.631,0.575,0,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1184,268,93_24,0.69,0.79,0,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,15,1984,269,93_24,0.649,0.66,0,1738
0,0,0,12,0,0,45,43,0,0,0,0,0,0,0,3,103,15,5280,270,93_24,0.686,0.757,0,3738566769728496e3
0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,2,6,15,1280,274,93_24,0.631,0.724,0,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,32,281,93_24,0.107,0.075,0,NA
1,0,0,0,1,0,22,22,0,0,0,1,0,0,0,5,52,15,3776,287,93_24,0.673,0.743,0,64100
2,0,0,1,0,0,1,1,1,0,0,0,1,0,0,6,13,15,2720,288,93_24,0.633,0.663,0,17314750515265
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,15,2144,289,93_24,0.69,0.765,0,38
0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,3,9,15,2176,290,93_24,0.651,0.658,0,12
2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,7,15,832,291,93_24,0.648,0.662,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,256,296,93_24,0.644,0.586,0,2
4,0,0,2,0,0,3,3,1,0,0,0,2,0,0,6,21,15,1824,298,93_24,0.607,0.622,0,14
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,32,299,93_24,0.438,0.601,0,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,256,304,93_24,0.653,0.649,0,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,576,305,93_24,0.616,0.644,0,17
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,128,361,93_24,0.671,0.603,0,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4736,394,93_24,0.702,0.801,0,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1120,395,93_24,0.729,0.72,0,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,128,396,93_24,0.768,0.692,0,NA
0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,2,17,15,1824,397,93_24,0.711,0.667,0,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,352,1016,93_24,0.595,0.574,0,NA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,128,10015,93_24,0.511,0.594,0,NA
