sp,years,nc_pars,nc_obs,npars,nobs,Tmean,Tsd,Tdiff,n_sites_wide_ci,large_ci,flag_convergence,flag_gof_Tmean,flag_gof_Tsd,flag_gof_Tdiff,flag_wide_ci,any_flag
77,93_24,0,0,15,416,0.641,0.635,0,1,4,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
83,93_24,0,0,15,2016,0.603,0.597,0,1,224462,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
84,93_24,0,0,15,6048,0.645,0.711,0,1,162,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
91,93_24,0,0,15,96,0.491,0.532,0,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
92,93_24,0,0,15,160,0.513,0.467,0,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
94,93_24,0,0,15,5344,0.663,0.727,0,1,6556364687390908e8,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
95,93_24,0,0,15,832,0.634,0.624,0,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
98,93_24,0,0,15,3424,0.667,0.715,0,1,1181,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
99,93_24,0,0,15,1248,0.623,0.659,0,1,132,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
101,93_24,0,0,15,192,0.591,0.527,0,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
104,93_24,0,0,15,608,0.529,0.528,0,1,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
167,93_24,0,0,15,1248,0.759,0.688,0,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
172,93_24,0,0,15,480,0.778,0.787,0,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
197,93_24,0,0,15,256,0.671,0.698,0,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
203,93_24,0,0,15,1760,0.662,0.675,0,1,17,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
205,93_24,0,0,15,32,0.429,0.632,0,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
210,93_24,0,0,15,4928,0.668,0.73,0,1,88128,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
213,93_24,0,0,15,32,0.837,0.743,0,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
214,93_24,0,0,15,256,0.563,0.663,0,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
215,93_24,0,0,15,32,0.558,0.57,0,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
216,93_24,0,0,15,64,0.462,0.386,0,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
229,93_24,0,0,15,64,0.552,0.575,0,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
235,93_24,0,0,15,1888,0.659,0.761,0,1,51,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
236,93_24,0,0,15,384,0.588,0.633,0,1,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
239,93_24,0,0,15,32,0.455,0.455,0,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
241,93_24,0,0,15,1056,0.673,0.785,0,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
246,93_24,0,0,15,64,0.704,0.777,0,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
250,93_24,0,0,15,864,0.635,0.586,0,1,23,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
254,93_24,0,0,15,64,0.492,0.427,0,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
255,93_24,0,0,15,288,0.583,0.656,0,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
256,93_24,0,0,15,320,0.717,0.757,0,1,235910,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
257,93_24,0,0,15,96,0.458,0.515,0,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
262,93_24,0,0,15,256,0.574,0.509,0,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
264,93_24,0,0,15,320,0.732,0.688,0,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
266,93_24,0,0,15,128,0.526,0.503,0,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
267,93_24,0,0,15,288,0.631,0.575,0,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
268,93_24,0,0,15,1184,0.69,0.79,0,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
281,93_24,0,0,15,32,0.107,0.075,0,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
296,93_24,0,0,15,256,0.644,0.586,0,1,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
299,93_24,0,0,15,32,0.438,0.601,0,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
304,93_24,0,0,15,256,0.653,0.649,0,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
305,93_24,0,0,15,576,0.616,0.644,0,1,17,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
361,93_24,0,0,15,128,0.671,0.603,0,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
394,93_24,0,0,15,4736,0.702,0.801,0,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
395,93_24,0,0,15,1120,0.729,0.72,0,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
396,93_24,0,0,15,128,0.768,0.692,0,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1016,93_24,0,0,15,352,0.595,0.574,0,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10015,93_24,0,0,15,128,0.511,0.594,0,0,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
