"CardNo","StartDate","Pentad","year","obs"
"2455_3045_010170_20220101",2022-01-01,"2455_3045",2022,0
"3035_3030_017523_20220104",2022-01-04,"3035_3030",2022,0
"3355_1950_002292_20220101",2022-01-01,"3355_1950",2022,0
"3310_1805_000505_20220106",2022-01-06,"3310_1805",2022,0
"3400_2215_011513_20220101",2022-01-01,"3400_2215",2022,0
"2940_3105_015364_20220102",2022-01-02,"2940_3105",2022,0
"2925_2955_020662_20220101",2022-01-01,"2925_2955",2022,0
"2940_2915_011445_20220101",2022-01-01,"2940_2915",2022,0
"2550_2730_019120_20220106",2022-01-06,"2550_2730",2022,0
"2550_2755_012167_20220102",2022-01-02,"2550_2755",2022,0
"3205_2005_000976_20220102",2022-01-02,"3205_2005",2022,0
"3250_2805_021180_20220105",2022-01-05,"3250_2805",2022,0
"2600_2815_014228_20220103",2022-01-03,"2600_2815",2022,0
"3300_1800_000505_20220103",2022-01-03,"3300_1800",2022,0
"2850_2600_000102_20220107",2022-01-07,"2850_2600",2022,0
"2500_3015_013127_20220102",2022-01-02,"2500_3015",2022,0
"3245_2805_021180_20220107",2022-01-07,"3245_2805",2022,0
"2845_2605_000102_20220107",2022-01-07,"2845_2605",2022,0
"3200_1815_002158_20220107",2022-01-07,"3200_1815",2022,0
"2845_2600_000102_20220107",2022-01-07,"2845_2600",2022,0
"3005_3050_019186_20220102",2022-01-02,"3005_3050",2022,0
"3350_1835_011005_20220103",2022-01-03,"3350_1835",2022,0
"3400_2320_020208_20220102",2022-01-02,"3400_2320",2022,0
"2550_2815_021001_20220102",2022-01-02,"2550_2815",2022,0
"2455_3135_017000_20220103",2022-01-03,"2455_3135",2022,0
"2450_3145_017000_20220103",2022-01-03,"2450_3145",2022,0
"2530_3100_017000_20220106",2022-01-06,"2530_3100",2022,0
"2610_2815_014228_20220103",2022-01-03,"2610_2815",2022,0
"2615_2805_001113_20220106",2022-01-06,"2615_2805",2022,0
"2445_3150_017000_20220103",2022-01-03,"2445_3150",2022,0
"2615_2800_001113_20220107",2022-01-07,"2615_2800",2022,0
"2545_2750_020240_20220103",2022-01-03,"2545_2750",2022,0
"2835_2725_010806_20220105",2022-01-05,"2835_2725",2022,0
"2555_2730_001518_20220103",2022-01-03,"2555_2730",2022,0
"2550_2745_001518_20220101",2022-01-01,"2550_2745",2022,0
"2550_2750_001518_20220101",2022-01-01,"2550_2750",2022,0
