"Pentad","year","site_id","log_dist_coast","watext","log_watext","watrec","ndvi","elev","prcp","tdiff","watext:watrec"
"3030_2955",2010,11063,3.86977440622939,260,5.56452040732269,2.53728270814273,0.534699894622165,818.164490951523,77.625,12.6916666666666,659.69350411711
"3030_2955",2011,11063,3.86977440622939,260,5.56452040732269,2.40228728270814,0.569881183321779,818.164490951523,87.9583333333333,12.2145833333333,624.594693504116
"3030_2955",2012,11063,3.86977440622939,260,5.56452040732269,2.43339432753888,0.572813907695355,818.164490951523,64.2291666666667,12.8291666666666,632.682525160109
"3030_3000",2010,11064,3.71144002970583,767,6.64378973314767,1.62877542344668,0.580599467665693,620.057026187659,78.0416666666667,11.8708333333333,1249.2707497836
"3030_3000",2011,11064,3.71144002970583,767,6.64378973314767,1.70933144850263,0.654205708478123,620.057026187659,89.5625,11.4104166666667,1311.05722100152
"3030_3000",2012,11064,3.71144002970583,767,6.64378973314767,1.60683353564532,0.624639646127451,620.057026187659,65.9375,12.0145833333333,1232.44132183996
"3030_3005",2010,11065,3.52314862211079,1914,7.55747290161475,1.65423961340787,0.634628141989887,402.156547342064,80.0208333333333,11.0020833333334,3166.21462006266
"3030_3005",2011,11065,3.52314862211079,1914,7.55747290161475,1.74383766406618,0.742197132424036,402.156547342064,93.3125,10.5416666666667,3337.70528902267
"3030_3005",2012,11065,3.52314862211079,1914,7.55747290161475,1.61957327436165,0.696156175204869,402.156547342064,68.9375,11.1375,3099.8632471282
"3030_3010",2010,11066,3.29084694588229,104,4.65396035015752,1.7786625405691,0.618029459310077,521.138037810332,82.1666666666667,10.99375,184.980904219186
"3030_3010",2011,11066,3.29084694588229,104,4.65396035015752,1.81715601177447,0.682977151477571,521.138037810332,95.625,10.54375,188.984225224545
"3030_3010",2012,11066,3.29084694588229,104,4.65396035015752,1.68310815910635,0.646624447235534,521.138037810332,70.6666666666667,11.1458333333333,175.04324854706
"3030_3020",2010,11068,2.55008259927025,41,3.73766961828337,0.975609756097561,0.619939337247724,280.932456587781,85.0208333333333,9.75625,40
"3030_3020",2011,11068,2.55008259927025,41,3.73766961828337,0.951219512195122,0.683332141385567,280.932456587781,102.333333333333,9.3020833333334,39
"3030_3020",2012,11068,2.55008259927025,41,3.73766961828337,0.951219512195122,0.661005195679908,280.932456587781,76.5,9.8875,39
"3030_3025",2010,11069,1.75343506770167,98,4.59511985013459,1.18702908531151,0.568996674749012,187.203989489495,86.1666666666667,9.21875,116.328850360528
"3030_3025",2011,11069,1.75343506770167,98,4.59511985013459,1.02791055659078,0.623374142637539,187.203989489495,106.145833333333,8.7583333333333,100.735234545896
"3030_3025",2012,11069,1.75343506770167,98,4.59511985013459,1.12922304139998,0.620435650074088,187.203989489495,79.4166666666667,9.3520833333334,110.663858057198
"3030_3030",2010,11070,0,1897,7.54855597916987,2.77606901257271,0.594037654928058,115.271133713345,85,8.8104166666666,5266.20291685043
"3030_3030",2011,11070,0,1897,7.54855597916987,2.78661976518752,0.647579504076645,115.271133713345,107.8125,8.35625,5286.21769456073
"3030_3030",2012,11070,0,1897,7.54855597916987,2.82352035679518,0.649280289690165,115.271133713345,80.4375,8.9375,5356.21811684046
"3030_3035",2010,11071,0,74436,11.2177084090306,2.98932017928979,0.436680900665348,53.3454343217064,82.5,8.525,222513.036865615
"3030_3035",2011,11071,0,74436,11.2177084090306,2.99086716332671,0.472181665753112,53.3454343217064,106.791666666667,8.0625,222628.188169387
"3030_3035",2012,11071,0,74436,11.2177084090306,2.99343370618479,0.488511311619503,53.3454343217064,79.5,8.6583333333333,222819.231353571
"3035_1735",2010,11074,2.32681276923608,5,1.79175946922805,1,0.235492264208556,162.479373464945,8.41666666666667,13.6020833333333,5
"3035_1735",2011,11074,2.32681276923608,5,1.79175946922805,1,0.235867034801643,162.479373464945,11.9791666666667,13.1791666666666,5
"3035_1735",2012,11074,2.32681276923608,5,1.79175946922805,0.8,0.230861685873134,162.479373464945,14.375,13.3791666666667,4
"3035_1825",2010,11084,4.3937231301282,0,0,0,0.196920196532525,584.369419752779,10.7708333333333,15.9041666666667,0
"3035_1825",2011,11084,4.3937231301282,0,0,0,0.220588950200657,584.369419752779,15.2083333333333,15.4916666666666,0
"3035_1825",2012,11084,4.3937231301282,0,0,0,0.204977821883476,584.369419752779,17.8958333333333,15.7416666666667,0
"3035_1830",2010,11085,4.4767144041511,1,0.693147180559945,1,0.201147321341837,724.897121505704,12.1458333333333,15.7791666666667,1
"3035_1830",2011,11085,4.4767144041511,1,0.693147180559945,1,0.234834256056049,724.897121505704,16.875,15.3604166666667,1
"3035_1830",2012,11085,4.4767144041511,1,0.693147180559945,1,0.211893269800739,724.897121505704,19.4583333333333,15.6208333333333,1
"3035_1835",2010,11086,4.55422602403605,0,0,0,0.22920376174492,875.988361927196,13.0416666666667,15.6208333333334,0
"3035_1835",2011,11086,4.55422602403605,0,0,0,0.258369184740477,875.988361927196,17.7916666666667,15.2083333333334,0
"3035_1835",2012,11086,4.55422602403605,0,0,0,0.236229954973263,875.988361927196,20.6041666666667,15.4770833333334,0
"3035_1840",2010,11087,4.62742280671706,1,0.693147180559945,1,0.196517444043722,868.845693608305,12.7083333333333,15.7833333333334,1
"3035_1840",2011,11087,4.62742280671706,1,0.693147180559945,1,0.234371792167212,868.845693608305,17.5625,15.3770833333334,1
"3035_1840",2012,11087,4.62742280671706,1,0.693147180559945,1,0.214546933879496,868.845693608305,20.2291666666667,15.6333333333333,1
"3035_1845",2010,11088,4.68667094622217,0,0,0,0.174655461303416,850.858792986646,12.6458333333333,15.9583333333333,0
"3035_1845",2011,11088,4.68667094622217,0,0,0,0.216820344780408,850.858792986646,17.4583333333333,15.55,0
"3035_1845",2012,11088,4.68667094622217,0,0,0,0.192422354809734,850.858792986646,19.8541666666667,15.8020833333333,0
"3035_1850",2010,11089,4.74309379501166,100,4.61512051684126,1,0.170948188752798,764.706485901285,12.1041666666667,16.2145833333334,100
"3035_1850",2011,11089,4.74309379501166,100,4.61512051684126,1.52,0.197474784710532,764.706485901285,16.6875,15.8166666666667,152
"3035_1850",2012,11089,4.74309379501166,100,4.61512051684126,1.01,0.182388869390725,764.706485901285,18.8541666666667,16.09375,101
"3035_1855",2010,11090,4.79811981116072,0,0,0,0.154335308194056,780.711366728754,12.0208333333333,16.3020833333334,0
"3035_1855",2011,11090,4.79811981116072,0,0,0,0.167139483138048,780.711366728754,16.75,15.9104166666667,0
"3035_1855",2012,11090,4.79811981116072,0,0,0,0.163566414877377,780.711366728754,18.8541666666667,16.18125,0
"3035_1930",2010,11097,5.12237740708379,0,0,0,0.107023847906393,825.167060018507,11.9166666666667,16.9583333333333,0
"3035_1930",2011,11097,5.12237740708379,0,0,0,0.137481066622251,825.167060018507,16.2708333333333,16.5854166666666,0
"3035_1930",2012,11097,5.12237740708379,0,0,0,0.111905682888478,825.167060018507,17.1458333333333,16.8708333333334,0
"3035_1940",2010,11099,5.19725718642469,6,1.94591014905531,1,0.104151393457738,961.792823232765,13.2083333333333,16.9854166666667,6
"3035_1940",2011,11099,5.19725718642469,6,1.94591014905531,1,0.144940696699126,961.792823232765,17.5,16.6333333333333,6
"3035_1940",2012,11099,5.19725718642469,6,1.94591014905531,1,0.10775636330829,961.792823232765,17.6875,16.9354166666667,6
"3035_1945",2010,11100,5.23292691944539,0,0,0,0.0999403013541109,960.206555406705,13.1666666666667,17.09375,0
"3035_1945",2011,11100,5.23292691944539,0,0,0,0.125064599615377,960.206555406705,17.2916666666667,16.7375,0
"3035_1945",2012,11100,5.23292691944539,0,0,0,0.0989002682448105,960.206555406705,17.375,17.0270833333334,0
"3035_2310",2010,11141,5.91602780227908,522,6.25958146406492,1.97701149425287,0.174506198660896,1132.8829663446,24.7708333333333,17.2770833333333,1032
"3035_2310",2011,11141,5.91602780227908,522,6.25958146406492,1.58812260536398,0.219825534977506,1132.8829663446,30.0833333333333,16.95,828.999999999998
"3035_2310",2012,11141,5.91602780227908,522,6.25958146406492,1.07088122605364,0.2032841413098,1132.8829663446,22.0416666666667,17.4333333333334,559
"3035_2315",2010,11142,5.91443426304232,16623,9.71860271333901,2.16754274801511,0.16919059840702,1106.80436997584,24.8333333333333,17.2708333333333,36031.0631002552
"3035_2315",2011,11142,5.91443426304232,16623,9.71860271333901,2.22135060740199,0.200357834862951,1106.80436997584,29.9791666666667,16.9458333333334,36925.5111468433
"3035_2315",2012,11142,5.91443426304232,16623,9.71860271333901,1.8639061164585,0.191454207872253,1106.80436997584,21.8541666666667,17.45,30983.7113738896
"3035_2320",2010,11143,5.91328479761332,69,4.24849524204936,1.05797101449275,0.162961993548349,1124.7656008643,25.4375,17.2354166666666,72.9999999999998
"3035_2320",2011,11143,5.91328479761332,69,4.24849524204936,1.34782608695652,0.188865431124558,1124.7656008643,30.6458333333333,16.9,92.9999999999999
"3035_2320",2012,11143,5.91328479761332,69,4.24849524204936,1.3768115942029,0.160659323072287,1124.7656008643,22.4166666666667,17.39375,95.0000000000001
"3035_2330",2010,11145,5.91195135967051,326,5.78996017089725,1.28220858895706,0.205245864420154,1173.95300521998,26.4583333333333,17.1854166666667,418.000000000002
"3035_2330",2011,11145,5.91195135967051,326,5.78996017089725,1.23926380368098,0.230200686404939,1173.95300521998,31.6875,16.8666666666667,403.999999999999
"3035_2330",2012,11145,5.91195135967051,326,5.78996017089725,1.19325153374233,0.203702355427694,1173.95300521998,23.2708333333333,17.3708333333333,389
"3035_2355",2010,11150,5.91441941625522,114,4.74493212836325,1.94736842105263,0.190713809062086,1244.22717301938,30.25,17.1895833333333,222
"3035_2355",2011,11150,5.91441941625522,114,4.74493212836325,1.81578947368421,0.236109448149096,1244.22717301938,34.75,16.8395833333333,207
"3035_2355",2012,11150,5.91441941625522,114,4.74493212836325,1.75438596491228,0.194354903722034,1244.22717301938,26.7083333333333,17.3791666666667,200
"3035_2400",2010,11151,5.91615184866626,46,3.85014760171006,1.93434039996567,0.192728046838909,1235.25941150876,30.9375,17.2083333333333,88.9796583984208
"3035_2400",2011,11151,5.91615184866626,46,3.85014760171006,1.95622693331045,0.261528254624113,1235.25941150876,35.3541666666667,16.8520833333334,89.9864389322807
"3035_2400",2012,11151,5.91615184866626,46,3.85014760171006,1.2339713329328,0.204879973907889,1235.25941150876,27.3541666666667,17.4145833333333,56.7626813149088
"3035_2405",2010,11152,5.91832296196677,429,6.06378520868761,1.69744227288517,0.19100956470187,1269.39084652194,31.3333333333333,17.2604166666666,728.202735067738
"3035_2405",2011,11152,5.91832296196677,429,6.06378520868761,2.01422381483445,0.278814024158114,1269.39084652194,35.6666666666667,16.9145833333334,864.102016563979
"3035_2405",2012,11152,5.91832296196677,429,6.06378520868761,1.17063093039838,0.222653064376695,1269.39084652194,27.3541666666667,17.4625,502.200669140905
"3035_2410",2010,11153,5.91990461880921,13,2.63905732961526,1.30769230769231,0.173554350700978,1304.64623190589,31.625,17.325,17
"3035_2410",2011,11153,5.91990461880921,13,2.63905732961526,2,0.24819106246047,1304.64623190589,36.3958333333333,16.9625,26
"3035_2410",2012,11153,5.91990461880921,13,2.63905732961526,1.53846153846154,0.209465262001677,1304.64623190589,27.3541666666667,17.525,20
"3035_2420",2010,11155,5.90417650060071,390,5.96870755998537,1.17039241890414,0.197268784995955,1442.41029917862,33.375,17.3354166666667,456.453043372615
"3035_2420",2011,11155,5.90417650060071,390,5.96870755998537,1.98650427246588,0.284711364663801,1442.41029917862,37.8125,16.9666666666666,774.736666261693
"3035_2420",2012,11155,5.90417650060071,390,5.96870755998537,1.20395456202163,0.2457041917818,1442.41029917862,27.4791666666667,17.5354166666667,469.542279188436
"3035_2425",2010,11156,5.89682016252924,1036,6.94408720822953,1.04047343718114,0.22079951441873,1455.13266353544,33.7291666666667,17.3083333333333,1077.93048091966
"3035_2425",2011,11156,5.89682016252924,1036,6.94408720822953,1.51996084922416,0.307670422965278,1455.13266353544,38.4583333333333,16.94375,1574.67943979623
"3035_2425",2012,11156,5.89682016252924,1036,6.94408720822953,1.10696551255017,0.254492614961217,1455.13266353544,27.4791666666667,17.53125,1146.81627100198
"3035_2505",2010,11164,5.84950971630393,526,6.26720054854136,2.12357414448669,0.257948176823622,1297.77449542783,37.5416666666667,16.3979166666666,1117
"3035_2505",2011,11164,5.84950971630393,526,6.26720054854136,2.23574144486692,0.288951246413822,1297.77449542783,42.0833333333333,16.0291666666666,1176
"3035_2505",2012,11164,5.84950971630393,526,6.26720054854136,2.03802281368821,0.264403390983153,1297.77449542783,29.7291666666667,16.6229166666667,1072
"3035_2520",2010,11167,5.83853498284892,413,6.02586597382531,1.4510438752316,0.256674969170681,1250.3144938226,38.8333333333333,15.90625,599.281120470651
"3035_2520",2011,11167,5.83853498284892,413,6.02586597382531,2.12392795064275,0.298277037808045,1250.3144938226,44.0416666666667,15.5395833333333,877.182243615456
"3035_2520",2012,11167,5.83853498284892,413,6.02586597382531,1.07522014020209,0.269450961359266,1250.3144938226,30.7916666666667,16.1395833333333,444.065917903463
"3035_2525",2010,11168,5.83540633060947,4686,8.45254799792271,2.43873493320842,0.270865697002381,1257.08930263912,39.0416666666667,15.7895833333333,11427.9118970147
"3035_2525",2011,11168,5.83540633060947,4686,8.45254799792271,2.46177112696673,0.302913444178545,1257.08930263912,44.3958333333333,15.4020833333334,11535.8595009661
"3035_2525",2012,11168,5.83540633060947,4686,8.45254799792271,2.3837040258969,0.275573615244455,1257.08930263912,30.8541666666667,16.0354166666666,11170.0370653529
"3035_2530",2010,11169,5.82812537166306,48325,10.7857249970854,2.8968564358628,0.154478159743626,1274.43976804051,39.875,15.9416666666667,139990.58726307
"3035_2530",2011,11169,5.82812537166306,48325,10.7857249970854,2.92292920019109,0.117534299417105,1274.43976804051,45.5208333333333,15.5791666666667,141250.553599234
"3035_2530",2012,11169,5.82812537166306,48325,10.7857249970854,2.90381168111001,0.134564448984653,1274.43976804051,31.5,16.1958333333333,140326.699489641
"3035_2535",2010,11170,5.8116375851858,59692,10.9969700395747,2.88285544533163,0.146992453325579,1270.11363190196,40.2916666666667,16.1958333333333,172083.407242736
"3035_2535",2011,11170,5.8116375851858,59692,10.9969700395747,2.91914500904854,0.0634311214272418,1270.11363190196,45.7083333333333,15.8145833333333,174249.603880125
"3035_2535",2012,11170,5.8116375851858,59692,10.9969700395747,2.90480925517688,0.106524509828572,1270.11363190196,31.5833333333333,16.4520833333333,173393.874060018
"3035_2545",2010,11172,5.77865649385444,47309,10.7644769686252,2.80365228883817,0.103158008487291,1272.08584376967,40.3958333333333,16.7479166666667,132637.986132645
"3035_2545",2011,11172,5.77865649385444,47309,10.7644769686252,2.87970301797993,0.103771691518983,1272.08584376967,45.4375,16.375,136235.870077613
"3035_2545",2012,11172,5.77865649385444,47309,10.7644769686252,2.86552326695129,0.0948404158729278,1272.08584376967,31.7083333333333,17.0166666666666,135565.040236199
"3035_2610",2010,11177,5.69670665373127,238,5.47646355193151,1.11738558609553,0.297639739741129,1368.96666225077,45.1041666666667,17.3875,265.937769490736
"3035_2610",2011,11177,5.69670665373127,238,5.47646355193151,1.95754740539731,0.346741654505655,1368.96666225077,49.2916666666667,17.00625,465.89628248456
"3035_2610",2012,11177,5.69670665373127,238,5.47646355193151,1.29420480463482,0.308271061021842,1368.96666225077,35.875,17.6666666666667,308.020743503087
"3035_2630",2010,11181,5.63386368811723,2614,7.86901937649902,1.80015237718893,0.297222152519891,1324.62617563468,49.5833333333333,17.34375,4705.59831397186
"3035_2630",2011,11181,5.63386368811723,2614,7.86901937649902,2.04273596386056,0.332858266302117,1324.62617563468,53.3541666666667,16.94375,5339.7118095315
"3035_2630",2012,11181,5.63386368811723,2614,7.86901937649902,1.88853264359455,0.323929695241758,1324.62617563468,39.6875,17.6083333333333,4936.62433035615
